who_am_i,Cluster
a person,1
a hater,4
not everyones favriote,4
a niece,4
a niece,4
a student,2
i have too many aunties to count,4
9th grader,4
9th grader,4
9th grader,4
a introvert,4
a simp,4
a aunt,4
a friend,4
indapendent,4
a lover,4
a sister,4
a sister,4
bad grade student,2
bad grade student,2
[school name] student,2
a cousin,4
a girl,0
a daughter,4
a daughter,4
mommys baby,4
i am a pilot in [popular video game],4
"i am the top driver in the [year, popular f1 championship]",4
i am 14,4
i am done with the toll,4
i am in math class,0
i am related to no one in vermont,4
i am going to not do ib,4
i am tall,4
i am filling out a survey,4
i am a citizen,4
[first & last name],4
i am a son,4
i am a son,4
i am having trouble coming up with more answers,4
i am a corner infielder,4
i am a student,2
i am good at graphic design,4
i am good at graphic design,4
i am level 12 in pokemon go,4
i am never using an iphone,4
i am in [city],4
i am 19% done with mathia,4
i have a brother.,4
i'm learning to drive in a year.,4
i'm learning how to play guitar.,4
my birthday is [date],4
my favorite animal is a frog.,4
my favorite color is green.,4
i'm an artist.,4
i like rock/indie music.,0
i like rock/indie music.,0
i'm 14 years old.,4
i'm a writer.,4
i can skateboard.,4
i have a dog.,4
[first & last name],4
likes plain clothes,4
a kid,4
a kid,4
has brown eyes,4
funny sometimes,4
simple,4
straight,4
short,4
has brown hair,4
a quiet person sometimes,1
a person with find grades,1
chinese,4
boring sometimes,4
a girl,0
an introvert,4
a person who likes art,1
a person who likes art,1
not studious,4
an extrovert,4
likes drawing,4
likes drawing,4
13 years old,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am a black girl,4
i am quater japanese,4
im am man,4
i am trying to learn a new language,4
i am greman,4
i am goodish at drawing,4
a star wars nerd,4
i am someone with long hair i am someone who likes to cosplay,4
i am someone with long hair i am someone who likes to cosplay,4
i am someone with long hair i am someone who likes to cosplay,4
i am not good with social interactions,4
i am somone that dosent like to read,0
i am somone that dosent like to read,0
i am an anime fan,4
i am not good at fashion,4
i am a theme park nerd,4
i am a bad at talking to new people,4
a mostly a grade student,2
a mostly a grade student,2
i am an ok cook,4
i am not very good at sports,4
i am somtimes smart,4
i am a marvel fan,4
funny sometimes,4
[first & last name],4
i like tennis,0
i like going on vacations.,0
i like going on vacations.,0
i love listening to classical music,0
i love listening to classical music,0
i like swimming,0
i like swimming,0
i am a triliguist.,4
i hate running,4
i hate running,4
i am extroverted.,4
"i like consider myself smart, although i'm not sure.",0
i enjoy eating food.,4
i am a lover of the arts.,4
i am a lover of the arts.,4
i identify as a heterosexual female.,4
i identify as a heterosexual female.,4
i am a writer.,4
i am moroccan-italian.,4
i identify as female.,4
i am young,4
i identify as north african-american.,4
i am funny.,4
i enjoy doing mathematics.,4
i enjoy doing mathematics.,4
i like watching television.,0
i like watching television.,0
i am a student.,2
i am all out of pencils. please lend me some.,4
i am a blonde.,4
i'm a 13 year old,4
i am [character name] in the play.,4
i am a student.,2
i am a great volleyball player and softball player.,4
i am person who was not prepared to explore their identity for a 5$ amazon giftcard.,1
i am a trail runner.,4
"i am a gemini, therefor i have an amazing personality.",4
"i am a gemini, therefor i have an amazing personality.",4
i am an athlete?,4
i am a girl.,0
i am a person scared about moving.,1
i am a person confused about this survey.,1
i am broke.,4
i am happy.,4
i am an artist and performer.,4
i am a walking dad joke dispenser.,4
i'm [first name],4
i am a member of my community.,4
i am feeling very accomplished for finishing this survey.,4
cool kid,4
cool kid,4
cool kid,4
[classmate's first & last name]'s plug,4
[first name initial]-w69,4
[first name initial & last name],4
[first name & last inital],4
[variation of name],4
nba lil [name initial],4
[first & last name],4
[variation of name],4
[popular video game],4
[variation of name],4
[first name],4
[popular video game],4
[first initial & last name],4
[variation of name],4
[classmate's first & last name]'s mom,4
the big [first name initial],4
[internet username],4
[internet username],4
[first & last name],4
[first name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am [first & last name],4
i am not mean,4
....,4
i like science,0
i like science,0
i am a human,4
....,4
....,4
i don't know,4
i like being human,0
i like being human,0
...,4
i am a kid,4
....,4
....,4
i am a soccer player,4
i am considered athletic,4
i don't know,4
i was in math academy,4
......,4
i am in middle school,4
i am in middle school,4
.....,4
a fisherman,4
a kid,4
a kid,4
an aisian,4
a [popular video game] player,4
a football kid,4
a football kid,4
a human,4
a friend,4
at [school name],0
an 8th grader,4
a gamer,4
a teen,4
a playa,4
i'm korean,4
i'm a cracked fortnite gamer,4
i'm a friend of [first name],4
i'm [first name],4
i'm human,4
i'm asian,4
i'm [name initials]'s friend,4
im a mathematician,4
im an architectural designer,4
im an architectural designer,4
i'm a playa,4
i'm in [school name],0
im a duck,4
outside and inside guy,4
computer science/coding,4
2 languages,4
love to try foods from other cultures,0
love to try foods from other cultures,0
watching basketball,4
a athlete,4
watching hockey,4
early to everything,4
[popular skiing mountain] :),4
a friend/happy/caring,4
films/editing,4
a hard worker,4
watching baeball,4
watching baeball,4
going on very fast/big roller coasters,4
going to new places,4
seeing live sporting events,4
watching soccer,4
watching soccer,4
"skier, snowboarder, and a surfer sometimes",4
a math person,1
watching football,4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
student,2
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
[first & last name],4
teenage girl,0
teenage girl,0
teenage girl,0
[first & last name],4
[first & last name],4
[first & last name],4
i love soccer,0
i love soccer,0
i love soccer,0
i love soccer,0
i love my best friend [first name],0
i love my best friend [first name],0
i love playing wing-back in soccer,0
i love playing wing-back in soccer,0
i love music,0
i love music,0
i have good grades and work hard,4
i have good grades and work hard,4
i love dogs,0
soccer is my life,4
i strongly dislike math,4
i strongly dislike math,4
i love my best friend [first name],0
i love my sister,0
i love la jolla/ventura,0
i love soccer,0
i love soccer,0
i love acting,0
i love acting,0
i love soccer,0
i love soccer,0
i love soccer,0
i love soccer,0
i care about my grades,4
i love my parents,0
i love my parents,0
i love talk to my friends,0
i love talk to my friends,0
i love talk to my friends,0
i like listening to documentaries,0
i like listening to documentaries,0
i like playing baseball,0
i like playing baseball,0
i am 15 years old,4
i like reading books,0
i like reading books,0
i am friendly,4
i live in [city],4
i love my family,0
i like watching action movies or science fiction movies,0
i like watching action movies or science fiction movies,0
i like learning about anything medical,0
i like learning about anything medical,0
i like playing games,0
i like playing games,0
i excel in mathematics,4
i like observing things like animal behavior,0
i like observing things like animal behavior,0
i like solving puzzles,0
i like solving puzzles,0
i am filipino,4
i like biology,3
i like biology,3
i'm a second child,4
i like talking with my sister,0
i like talking with my sister,0
i like playing badminton,0
i like playing badminton,0
i was born at [birthdate],4
"i am [first, middle & last name]",4
i am big,4
i like spring,0
i love math,0
i love math,0
i like water,0
i'm a boy,4
in 8th grade,4
in 8th grade,4
in 8th grade,4
i play baseball,4
i don't like soccer,0
i don't like soccer,0
i'm not short,4
going to high school next year,4
going to high school next year,4
i like baseball,0
i like baseball,0
i like computers,3
i like computers,3
food is enjoyable,4
i don't like winter,0
i am an aquarius,4
air is pretty nice,4
i think i'm smart,4
i am tall,4
school is okay,0
i'm good at baseball,4
a reader,4
involved,4
bisexual,4
in an honors 8 math class,0
going to [school name] for highshool,4
love to sing,0
love to sing,0
funny,4
[first & last name],4
confident,4
a reader,4
crafter,4
friendly,4
hopefully pretty,4
a hopeless romantic,4
the girl on [a youtube channel],4
the girl on [a youtube channel],4
want to be a writer,4
brown short hair,4
a polar bear in a past life,4
"very uncultured, but i am trying to get better",4
in my best life,4
missing,4
friendly,4
son,4
son,4
silly,4
i am [first & last name],4
student,2
myself,4
unhappy,4
popular (alot of my close friends say this),4
unstable,4
bisexual,4
stupid,4
talkative,4
happy,4
male,4
crazy,4
smart,4
awake,4
interesting,4
courages,4
i am a latino,4
intellegente,4
i have too many uncles to count,4
strong,4
i am a 15 years old,4
my only grandparent lives in mexico,4
i am lazy,4
i have 5 family members,4
my favorite show is dragon ball,4
i am an a student,2
i am the best at math in my family,4
i am the tallest in my family,4
i love video games,0
i love video games,0
funny,4
i teach my older brother math,4
hard working,4
tall,4
i am the youngest son,4
i am the youngest son,4
i am for the most part joyful,4
singing is awesome!!!,4
i love volleyball!!!!!??,0
i love volleyball!!!!!??,0
i am a volleyball player.,4
i hate snakes and cats (first name & another first name).,4
i am an actress.,4
mathia is better then iready.,4
i am a singer.,4
volleyball is awesome!!!!!,4
i love songwriting.,0
i love songwriting.,0
i am in 8th grade.,4
i am in 8th grade.,4
i am in 8th grade.,4
i am 14.,4
i love music.,0
drawing funny things is fun.,4
i am a star wars fan.,4
i like writing poems.,0
i like writing poems.,0
i like writing poems.,0
i like using staedtler erasers.,0
i like using staedtler erasers.,0
i am a marvel fan.,4
i am a ukulele player.,4
i love my friends.,0
i love my friends.,0
i am a piano player.,4
a hopeless romantic,4
a singer,4
a comedian,4
a poet,4
a dog lover,4
a romance novel lover,4
a romance novel lover,4
someone who loves their hair curlers,4
someone who loves their hair curlers,4
a mushroom lover,4
an emotional person,1
an artistic mind,4
an old soul,4
a swiftie,4
[a popular tv show website] member,4
a swimmer,4
a passionate athlete,4
a music lover,4
a music lover,4
a pisces,4
a stresser,4
a shoe collector,4
someone who is allergic to pollen,4
ur great grandma,4
a straight person,1
[friend's first name] father,4
treee,4
they hating,4
ur grandpa,4
told me to try to catch them dirty,4
[famous baseball player],4
a table,4
ur great grandpa,4
helicopter helicopter,4
ur uncle,4
ur mother,4
i don't know you tell me,4
ur grandma,4
pokemon gotta catch them all,4
ur aunt,4
ur father,4
[first & last name],4
they see me rolling,4
a female.,4
someone that is failing my classes.,4
water polo player.,4
i am white/european and armenian.  like the kardashians :).,0
i am white/european and armenian.  like the kardashians :).,0
someone with adhd.,4
sister.,4
sister.,4
friend.,4
someone with anxiety.,4
i am very privileged money wise and very grateful for it.,4
atheist.,4
supporter of the lgbtq+ community and blm.,4
pansexual.,4
someone that was depressed over covid.,4
a child,4
a child,4
a human,4
a middle schooler,4
a person,1
a human,4
a person filling out this survey.,1
a nintendo fan in general,4
a nintendo fan in general,4
