stu_id,answer_rank,who_am_i,code,valence,year
stu_AJMSL3816R,3,a person,21.0,none,2021-2022
stu_AJMSL3816R,16,A hater,44.0,negative,2021-2022
stu_AJMSL3816R,12,not everyones favriote,46.0,negative,2021-2022
stu_AJMSL3816R,19,A niece,12.0,neutral,2021-2022
stu_AJMSL3816R,19,A niece,2.0,girl,2021-2022
stu_AJMSL3816R,7,A student,14.0,neutral,2021-2022
stu_AJMSL3816R,20,i have too many aunties to count,12.0,neutral,2021-2022
stu_AJMSL3816R,2,9th grader,22.0,9thgrade,2021-2022
stu_AJMSL3816R,2,9th grader,4.0,9thgrade,2021-2022
stu_AJMSL3816R,2,9th grader,14.0,neutral,2021-2022
stu_AJMSL3816R,13,A introvert,44.0,neutral,2021-2022
stu_AJMSL3816R,14,A Simp,46.0,negative,2021-2022
stu_AJMSL3816R,18,A aunt,12.0,neutral,2021-2022
stu_AJMSL3816R,6,A Friend,10.0,neutral,2021-2022
stu_AJMSL3816R,4,indapendent,44.0,neutral,2021-2022
stu_AJMSL3816R,15,A lover,44.0,neutral,2021-2022
stu_AJMSL3816R,5,A sister,12.0,neutral,2021-2022
stu_AJMSL3816R,5,A sister,2.0,girl,2021-2022
stu_AJMSL3816R,17,bad grade student,25.0,negative,2021-2022
stu_AJMSL3816R,17,bad grade student,14.0,neutral,2021-2022
stu_AJMSL3816R,11,[SCHOOL NAME] student,14.0,neutral,2021-2022
stu_AJMSL3816R,9,A Cousin,12.0,neutral,2021-2022
stu_AJMSL3816R,1,A Girl,2.0,girl,2021-2022
stu_AJMSL3816R,8,A Daughter,12.0,neutral,2021-2022
stu_AJMSL3816R,8,A Daughter,2.0,girl,2021-2022
stu_AJMSL3816R,10,mommys baby,12.0,neutral,2021-2022
stu_AUQLX2144H,19,I am a pilot in [POPULAR VIDEO GAME],28.0,neutral,2021-2022
stu_AUQLX2144H,20,"I am the top driver in the [YEAR, POPULAR F1 CHAMPIONSHIP]",28.0,positive,2021-2022
stu_AUQLX2144H,9,I am 14,4.0,14,2021-2022
stu_AUQLX2144H,5,I am done with the toll,47.0,neutral,2021-2022
stu_AUQLX2144H,8,I am in math class,47.0,neutral,2021-2022
stu_AUQLX2144H,13,I am related to no one in vermont,48.0,none,2021-2022
stu_AUQLX2144H,6,I am going to not do ib,14.0,negative,2021-2022
stu_AUQLX2144H,3,I am tall,35.0,neutral,2021-2022
stu_AUQLX2144H,2,I am filling out a survey,47.0,neutral,2021-2022
stu_AUQLX2144H,11,I am a citizen,8.0,citizen,2021-2022
stu_AUQLX2144H,1,[FIRST & LAST NAME],5.0,none,2021-2022
stu_AUQLX2144H,16,I am a son,12.0,neutral,2021-2022
stu_AUQLX2144H,16,I am a son,2.0,boy,2021-2022
stu_AUQLX2144H,17,I am having trouble coming up with more answers,47.0,neutral,2021-2022
stu_AUQLX2144H,10,I am a corner infielder,29.0,neutral,2021-2022
stu_AUQLX2144H,15,I am a student,14.0,neutral,2021-2022
stu_AUQLX2144H,18,I am good at graphic design,27.0,neutral,2021-2022
stu_AUQLX2144H,18,I am good at graphic design,26.0,neutral,2021-2022
stu_AUQLX2144H,7,I am level 12 in Pokemon Go,28.0,neutral,2021-2022
stu_AUQLX2144H,12,I am never using an iphone,27.0,negative,2021-2022
stu_AUQLX2144H,14,I am in [CITY],9.0,not sure,2021-2022
stu_AUQLX2144H,4,I am 19% done with mathia,47.0,neutral,2021-2022
stu_BUYXD2520P,6,I have a brother.,12.0,neutral,2021-2022
stu_BUYXD2520P,7,I'm learning to drive in a year.,31.0,neutral,2021-2022
stu_BUYXD2520P,2,I'm learning how to play guitar.,26.0,neutral,2021-2022
stu_BUYXD2520P,12,My birthday is [DATE],48.0,neutral,2021-2022
stu_BUYXD2520P,11,My favorite animal is a frog.,24.0,positive,2021-2022
stu_BUYXD2520P,13,,48.0,none,2021-2022
stu_BUYXD2520P,10,My favorite color is green.,24.0,positive,2021-2022
stu_BUYXD2520P,15,,48.0,none,2021-2022
stu_BUYXD2520P,8,I'm an artist.,26.0,neutral,2021-2022
stu_BUYXD2520P,5,I like rock/indie music.,26.0,neutral,2021-2022
stu_BUYXD2520P,5,I like rock/indie music.,24.0,positive,2021-2022
stu_BUYXD2520P,1,I'm 14 years old.,4.0,14 year old,2021-2022
stu_BUYXD2520P,9,I'm a writer.,25.0,neutral,2021-2022
stu_BUYXD2520P,14,,48.0,none,2021-2022
stu_BUYXD2520P,4,I can skateboard.,29.0,neutral,2021-2022
stu_BUYXD2520P,3,I have a dog.,32.0,none,2021-2022
stu_CDQME8338E,2,[FIRST & LAST NAME],5.0,none,2021-2022
stu_CDQME8338E,20,likes plain clothes,24.0,positive,2021-2022
stu_CDQME8338E,10,a kid,22.0,kid,2021-2022
stu_CDQME8338E,10,a kid,4.0,kid,2021-2022
stu_CDQME8338E,8,has brown eyes,35.0,neutral,2021-2022
stu_CDQME8338E,18,funny sometimes,44.0,positive,2021-2022
stu_CDQME8338E,18,simple,45.0,neutral,2021-2022
stu_CDQME8338E,6,straight,3.0,straight,2021-2022
stu_CDQME8338E,16,short,35.0,neutral,2021-2022
stu_CDQME8338E,4,has brown hair,35.0,neutral,2021-2022
stu_CDQME8338E,12,a quiet person sometimes,44.0,neutral,2021-2022
stu_CDQME8338E,10,a person with find grades,14.0,neutral,2021-2022
stu_CDQME8338E,12,Chinese,7.0,chinese,2021-2022
stu_CDQME8338E,20,boring sometimes,44.0,negative,2021-2022
stu_CDQME8338E,4,A girl,2.0,girl,2021-2022
stu_CDQME8338E,16,an introvert,44.0,neutral,2021-2022
stu_CDQME8338E,14,A person who likes art,26.0,neutral,2021-2022
stu_CDQME8338E,14,A person who likes art,24.0,positive,2021-2022
stu_CDQME8338E,8,Not studious,41.0,neutral,2021-2022
stu_CDQME8338E,14,an extrovert,44.0,neutral,2021-2022
stu_CDQME8338E,2,likes drawing,26.0,neutral,2021-2022
stu_CDQME8338E,2,likes drawing,24.0,positive,2021-2022
stu_CDQME8338E,6,13 years old,4.0,13 year old,2021-2022
stu_DYWGH4533N,12,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,12,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,6,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,6,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,17,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,17,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,18,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,18,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,20,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,20,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,14,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,14,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,11,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,11,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,19,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,19,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,4,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,4,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,13,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,13,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,3,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,3,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,8,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,8,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,16,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,16,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,9,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,9,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,5,I am a black girl,6.0,black,2021-2022
